iter	Passed	Remaining
0	382	95269
1	679	84218
2	939	77315
3	1292	79511
4	1599	78396
5	1884	76655
6	2104	73040
7	2328	70434
8	2554	68412
9	2805	67329
10	3029	65820
11	3261	64688
12	3496	63742
13	3713	62600
14	3951	61908
15	4200	61435
16	4431	60735
17	4655	60010
18	4870	59212
19	5155	59286
20	5376	58630
21	5605	58092
22	5835	57590
23	6074	57197
24	6302	56720
25	6566	56573
26	6798	56150
27	7032	55760
28	7257	55306
29	7482	54870
30	7721	54545
31	8076	55023
32	8402	55251
33	8745	55557
34	9038	55523
35	9343	55541
36	9607	55306
37	9852	54966
38	10168	55015
39	10478	55010
40	10818	55148
41	11283	55879
42	11616	55922
43	12102	56662
44	12402	56498
45	12629	56010
46	12885	55656
47	13239	55717
48	13641	55959
49	13989	55958
50	14374	56088
51	14808	56385
52	15056	55963
53	15473	56161
54	15790	55984
55	16025	55517
56	16303	55203
57	16518	54683
58	16820	54451
59	17131	54248
60	17392	53887
61	17645	53506
62	17928	53216
63	18322	53248
64	18664	53122
65	19077	53184
66	19372	52912
67	19676	52663
68	20038	52565
69	20299	52198
70	20592	51916
71	20818	51468
72	21049	51038
73	21266	50580
74	21534	50248
75	21767	49835
76	21997	49424
77	22293	49158
78	22527	48761
79	22790	48429
80	23027	48045
81	23302	47740
82	23526	47336
83	23770	46975
84	24078	46741
85	24303	46346
86	24527	45953
87	24779	45616
88	24993	45213
89	25237	44866
90	25482	44523
91	25803	44314
92	26008	43906
93	26222	43518
94	26442	43142
95	26622	42707
96	26818	42301
97	26993	41867
98	27269	41592
99	27455	41183
100	27638	40772
101	27826	40375
102	28047	40029
103	28246	39653
104	28450	39288
105	28666	38943
106	28882	38599
107	29073	38225
108	29247	37833
109	29423	37447
110	29591	37055
111	29770	36681
112	29980	36348
113	30151	35970
114	30337	35613
115	30507	35241
116	30682	34878
117	30849	34509
118	31039	34169
119	31237	33840
120	31417	33494
121	31618	33173
122	31843	32879
123	32076	32593
124	32356	32356
125	32669	32150
126	32954	31916
127	33191	31635
128	33495	31418
129	34166	31538
130	34586	31418
131	34887	31186
132	35094	30872
133	35291	30551
134	35485	30228
135	35666	29897
136	35914	29622
137	36165	29351
138	36511	29156
139	36693	28830
140	36888	28516
141	37102	28218
142	37318	27923
143	37493	27599
144	37668	27277
145	37841	26955
146	38023	26642
147	38203	26329
148	38382	26017
149	38559	25706
150	38758	25411
151	38938	25105
152	39227	24870
153	39528	24641
154	39726	24348
155	39916	24052
156	40121	23766
157	40306	23469
158	40506	23182
159	40672	22878
160	40842	22577
161	41028	22286
162	41207	21994
163	41377	21697
164	41551	21405
165	41734	21118
166	41951	20850
167	42164	20580
168	42384	20314
169	42577	20036
170	42738	19744
171	42901	19455
172	43076	19172
173	43385	18950
174	43583	18678
175	43764	18401
176	43994	18144
177	44202	17879
178	44381	17603
179	44585	17338
180	44759	17062
181	44934	16788
182	45106	16514
183	45295	16247
184	45464	15973
185	45639	15703
186	45800	15430
187	45972	15161
188	46136	14890
189	46296	14620
190	46475	14356
191	46660	14095
192	46833	13831
193	47002	13567
194	47179	13307
195	47366	13049
196	47537	12789
197	47706	12528
198	47907	12277
199	48084	12021
200	48291	11772
201	48467	11517
202	48639	11261
203	48815	11007
204	49002	10756
205	49192	10507
206	49375	10256
207	49556	10006
208	49721	9754
209	49995	9523
210	50163	9271
211	50331	9021
212	50596	8788
213	50770	8540
214	50930	8291
215	51102	8043
216	51341	7807
217	51536	7565
218	51711	7319
219	51898	7077
220	52063	6831
221	52244	6589
222	52415	6346
223	52576	6102
224	52736	5859
225	52898	5617
226	53073	5377
227	53253	5138
228	53433	4899
229	53598	4660
230	53780	4423
231	53948	4185
232	54130	3949
233	54301	3712
234	54490	3478
235	54657	3242
236	54825	3007
237	54991	2772
238	55161	2538
239	55327	2305
240	55492	2072
241	55692	1841
242	55864	1609
243	56030	1377
244	56214	1147
245	56394	916
246	56567	687
247	56745	457
248	56910	228
249	57081	0
